path	strings	chars
/GM00.MAP	824	12388
/AT00.MAP	654	9163
/GB00.MAP	643	9139
/IG00.MAP	578	8929
/MH00.MAP	626	8541
/RT20.MAP	627	8104
/WC00.MAP	662	7961
/MP00.MAP	646	7744
/WR00.MAP	635	7356
/KM00.MAP	538	7081
/CK00.MAP	506	6883
/ZM00.MAP	453	6422
/KR00.MAP	457	6266
/WY00.MAP	558	6200
/DIARY.MSG	61	6083
/WAZAHELP.MSG	228	5695
/QH00.MAP	410	5459
/OT00.MAP	402	5455
/IZ00.MAP	443	5405
/ITEMHELP.MSG	190	4959
/JG00.MAP	332	3799
/CT10.MAP	310	3523
/NJ10.MAP	307	3523
/ZM01.MAP	211	3409
/KD00.MAP	271	3246
/NT20.MAP	242	3161
/KM10.MAP	310	3007
/AT20.MAP	289	2934
/AT10.MAP	140	2807
/OB00.MAP	259	2785
/OT01.MAP	182	2774
/KS00.MAP	223	2715
/CT20.MAP	220	2661
/IP00.MAP	227	2649
/HS00.MAP	237	2482
/HL10.MAP	182	2402
/HL00.MAP	220	2376
/HY00.MAP	220	2161
/WK00.MAP	183	2124
/NT30.MAP	162	2121
/WY02.MAP	199	2109
/NZ10.MAP	182	2018
/WR02.MAP	196	1947
/IG10.MAP	167	1937
/SK00.MAP	183	1866
/GT10.MAP	162	1832
/NZ00.MAP	161	1791
/HS10.MAP	179	1785
/IS10.MAP	149	1676
/1_RIG2.BIN	398	1634
/BL00.MAP	143	1632
/STATHELP.MAT	11	1606
/DG21.MAP	111	1591
/WS01.MAP	139	1557
/TM00.MAP	122	1513
/ES01.MAP	134	1481
/DG10.MAP	144	1421
/NJ00.MAP	130	1408
/WS10.MAP	120	1357
/KEYHELP.MAT	21	1356
/KK00.MAP	148	1309
/ES10.MAP	117	1272
/WS00.MAP	113	1243
/MK00.MAP	103	1217
/SK10.MAP	110	1167
/GT20.MAP	132	1142
/KB20.MAP	125	1071
/ES00.MAP	96	1012
/OT02.MAP	81	1011
/GT00.MAP	109	987
/IS00.MAP	91	950
/DL00.MAP	83	933
/WR10.MAP	91	926
/DS00.MAP	91	867
/CT00.MAP	82	859
/IG01.MAP	84	834
/QH01.MAP	78	804
/NT21.MAP	75	754
/NT00.MAP	87	747
/IP10.MAP	71	743
/DG00.MAP	79	741
/RS01.MAP	74	681
/KB00.MAP	76	659
/KK01.MAP	84	638
/BOT5.MAP	83	614
/KB10.MAP	72	609
/KZ00.MAP	63	602
/BOT4.MAP	76	541
/GH00.MAP	72	536
/JG02.MAP	51	464
/JG10.MAP	49	447
/SS10.MAP	56	442
/SS00.MAP	56	442
/NT31.MAP	44	421
/SB00.MAP	47	407
/CH/CH_W/CH_W_300.BCH	88	405
/CH/CH_Z/CH_Z_780.BCH	64	405
/0_OP.BIN	85	399
/DS10.MAP	52	399
/RT30.MAP	48	380
/FIR3.MAP	49	378
/CK01.MAP	42	368
/IY00.MAP	49	350
/ST00.MAP	45	344
/TJ41.MAP	41	327
/TJ40.MAP	41	323
/EVE_002.EVE	123	310
/TJ62.MAP	40	308
/TJ01.MAP	40	307
/KB01.MAP	39	306
/TJ00.MAP	40	303
/TJ60.MAP	39	303
/TJ51.MAP	38	302
/CH/CH_M/CH_M_450.BCH	82	300
/TJ61.MAP	38	299
/OT10.MAP	39	298
/TJ70.MAP	40	297
/TJ22.MAP	40	297
/TJ30.MAP	41	296
/TJ20.MAP	40	296
/TJ71.MAP	39	294
/TJ31.MAP	40	293
/TJ72.MAP	39	293
/TJ50.MAP	38	293
/TJ32.MAP	40	292
/TJ21.MAP	39	292
/TJ11.MAP	39	281
/TJ10.MAP	39	281
/RT00.MAP	41	275
/CH/CH_D/CH_D_780.BCH	48	250
/AT01.MAP	35	250
/ST10.MAP	33	242
/FIR0.MAP	33	241
/FIR1.MAP	31	240
/JG01.MAP	33	231
/KM01.MAP	30	222
/NZ11.MAP	28	215
/CH/CH_S/CH_S_450.BCH	61	212
/GM01.MAP	37	209
/CH/CH_X/CH_X_300.BCH	41	205
/FIR2.MAP	29	202
/MP01.MAP	20	192
/CH/CH_G/CH_G_870.BCH	26	190
/BOT3.MAP	42	179
/WAZA/WAZA_009/WAZA_132.WAZ	35	150
/EVE_095.EVE	41	149
/EVE_080.EVE	41	149
/BL20.MAP	25	147
/NT10.MAP	27	144
/BL10.MAP	24	141
/CH/CH_W/CH_W_210.BCH	25	139
/TM40.MAP	23	139
/CH/CH_K/CH_K_450.BCH	46	137
/BL50.MAP	23	137
/TTTT.MAP	24	135
/HL11.MAP	22	134
/RIG2MENU.OVL	18	130
/CH/CH_I/CH_I_870.BCH	22	127
/BOOT2.MAP	36	126
/RIG2INIT.DAT	17	126
/TST2.MAP	21	122
/BL40.MAP	24	114
/RS00.MAP	20	114
/TEST.MAP	20	111
/CH/CH_M/CH_M_050.BCH	13	111
/BOOT.MAP	31	110
/TM30.MAP	23	110
/TM20.MAP	23	110
/CH/CH_U/CH_U_110.BCH	15	110
/CH/CH_E/CH_E_620.BCH	35	109
/IXXX.MAP	19	109
/BL30.MAP	23	108
/TM10.MAP	23	107
/RIG2OP.DAT	14	107
/WAZA/WAZA_009/WAZA_138.WAZ	27	106
/WR01.MAP	19	100
/CH/CH_Y/CH_Y_600.BCH	27	98
/CH/CH_K/CH_K_050.BCH	16	91
/CH/CH_I/CH_I_050.BCH	14	90
/CH/CH_L/CH_L_050.BCH	17	89
/CH/CH_T/CH_T_620.BCH	28	86
/CH/CH_J/CH_J_220.BCH	17	86
/WY01.MAP	17	82
/WC01.MAP	17	82
/CH/CH_Y/CH_Y_780.BCH	17	68
/CH/CH_H/CH_H_810.BCH	15	67
/CH/CH_W/CH_W_410.BCH	8	66
/CH/CH_Q/CH_Q_680.BCH	11	65
/CH/CH_B/CH_B_030.BCH	16	64
/CH/CH_R/CH_R_220.BCH	11	64
/CH/CH_K/CH_K_040.BCH	22	63
/WAZA/WAZA_009/WAZA_137.WAZ	14	60
/WAZA/WAZA_008/WAZA_112.WAZ	3	60
/DG20.MAP	5	59
/BOOT3.MAP	16	58
/BOOT1.MAP	16	58
/CH/CH_K/CH_K_130.BCH	8	55
/WAZA/WAZA_015/WAZA_183.WAZ	12	54
/CH/CH_W/CH_W_340.BCH	16	53
/CH/CH_O/CH_O_660.BCH	10	53
/WAZA/WAZA_002/WAZA_026.WAZ	5	53
/CH/CH_Y/CH_Y_040.BCH	20	52
/CH/CH_E/CH_E_030.BCH	14	52
/WAZA/WAZA_006/WAZA_092.WAZ	7	52
/WAZA/WAZA_006/WAZA_084.WAZ	5	51
/WAZA/WAZA_009/WAZA_128.WAZ	15	50
/CH/CH_T/CH_T_680.BCH	14	50
/CH/CH_Z/CH_Z_360.BCH	8	50
/WAZA/WAZA_006/WAZA_093.WAZ	6	49
/WAZA/WAZA_006/WAZA_091.WAZ	6	49
/WAZA/WAZA_006/WAZA_086.WAZ	6	49
/WAZA/WAZA_009/WAZA_140.WAZ	15	48
/CH/CH_U/CH_U_050.BCH	10	48
/CH/CH_P/CH_P_330.BCH	5	48
/RADAR.DG2	18	47
/WAZA/WAZA_009/WAZA_136.WAZ	14	46
/WAZA/WAZA_009/WAZA_135.WAZ	14	46
/WAZA/WAZA_009/WAZA_134.WAZ	14	46
/WAZA/WAZA_009/WAZA_133.WAZ	14	46
/WAZA/WAZA_009/WAZA_127.WAZ	14	46
/RIG2MNU2.OVL	8	46
/WAZA/WAZA_003/WAZA_046.WAZ	2	46
/WAZA/WAZA_001/WAZA_015.WAZ	2	46
