chars	files	first	text
232	1	/AT10.MAP	場の位相を引き起こす揺らぎは、異分子の介入によってたやすく引き起こすことが出来る。世界はその異分子介入の均衡を取るため一方に力を吐き出す。そこから波のように、揺らぎは大きくなっていく。そしてその揺らぎ、すなわちカオスが続けば、つの世界の境界はなくなり、全てが虚無に包まれる。虚無と実存が対消滅を起こす時、境界を接して存在する２つの世界も消滅すると考えられる。我々が住む世界は、常に微妙なバランスの上で存在しているのである。ウィスコ著、「虚無と実存～カオスの揺らぎ」
225	1	/AT10.MAP	果たしてこの世にある魔法力は一体どこより来ているのか？かっての戦役にて、異世界の扉が開いた際、私は、はっきりと感じとった。異世界こそが、我らの世界でいう「魔法力」の根源、すなわち負の力場である。両者は各地に点在する水晶を通じて波の満ち引きのような力の揺らぎによりお互いにその均衡を保っている。力の揺らぎが大きくなった時両者の均衡は崩れ、巨大な魔法力が生じ両者の世界に混沌をまきちらす。それがカオスの力と呼ばれる物である。ウィスコ著、「魔法世界の真実」
218	1	/OT01.MAP	「郷土の英雄、女海賊ディアナ」今を去る事一世紀ほど昔、ヤマタイより侵攻してきたゲンユウサイとリグロードの英雄達の戦い、すなわちリグロード戦役において、クィーンズランドのアーサー王子らと共に戦ったのが、女海賊ディアナである。オルトマを中心に、リグロード沿海を荒し回り人々から恐れられていたディアナが、アーサー王との出会いによって改心したエピソードは、アーサー王のじゃじゃ馬ならしとして知られている。　　　　（オルトマ自治会歴史保存委員会）
213	1	/AT10.MAP	これが、古来より禁書の中に隠された異世界の真実である。最後になるが、私は私自身を、異世界と現世をつなぐ「次元の扉」の強力な封印へと、自身の魔法力を使い、変身する決意を記す。良き友人の母への、せめてもの償いになればと思う。しかし、強力な封印も、いつかは破られる時がくるであろう。あるいは、時の流れの中で自然に弱まるかもしれぬ。ここに記した知識が、悪用されることのないように、今はただ祈るのみである。ウィスコ著、「魔法世界の真実」
179	1	/AT10.MAP	以下、賢者ウィスコの考察より引用する。およそ魔法に従事する者で、ガルマンオーブに秘められた力の可能性に魅せられない者などいないであろう。しかしそこに秘められたカオスの力は怪物である。それは絶対的な虚無のゆらぎである！全てが虚数次元の彼方に滅亡してからでは遅いのだ。それゆえに、魔法球の研究を禁じよ！必要とあらば、弾圧せよ！ファルコ著、「ガルマンオーブの研究」
173	1	/STATHELP.MAT	　　　　　　　　　　　　　　　　　　　［２／５］各技の技Ｌｖ－技を使うために必要となる技レベル　　　　　　　です。もう１つの値は使うごとに加　　　　　　　算される経験値です。必要行動力　－技を使うために必要な行動力です。　　　　　　　移動したときに、この必要行動力だ　　　　　　　けの行動力が残っていないと技を使　　　　　　　うことはできません。
171	1	/STATHELP.MAT	パラメータ種類（２）　　　　　　　　　［７／７］幸運　　－運は回避率をアップします。賢さ　　－魔法攻撃力に影響を与えます。抗魔力　－魔法技を受けた時のダメージを小さくす　　　　　る力です。回避率　－自分と同程度の速さの　　　　　モンスターに対する回避率です。必殺率　－自分と同程度の能力を持つ、　　　　　モンスターに対するクリティカル率です。
166	1	/STATHELP.MAT	パラメータ種類（１）　　　　　　　　　［６／７］行動力　－移動と攻撃技で使用する値。ターン毎に　　　　　回復します。登坂　　－坂を登る能力や水の上などを飛行できる　／水上　能力を示します。速さ　　－回避率と必殺率に影響を与えます。攻撃力　－攻撃技でのダメージ力です。防御力　－攻撃技を受けた時のダメージを小さくす　　　　　る力です。
165	1	/STATHELP.MAT	ステータス種類（１）　　　　　　　　　［３／７］飛－空中に浮いていて、いづな落としや投げで攻撃　　されません。また、地系の攻撃技でダメージを　　受けません。透－透明化しています。打撃系の攻撃を受けません。眠－眠らされています。寝ている間は何もできませ　　ん。恐－恐怖に理性を失っています。相手から逃げまわ　　ることしかできません。
162	1	/ZM01.MAP	ヤーツ・テ・ターセ作の美少女魔法戦士プリンセスドラグーンって物語があるんだけど、けっこう面白いゼ。　　　　　　　　　　　　　（クラリース）↑主役のアーヤがいいんだよナ！！　　　　　　　　　　　　　　　（アドベ）↑分かってねェな、お前ら。なんたって、「美少女剣士、黒の雷光」が一番だぜ！　　　　　　　　　　　　　（エクセーヌ）
162	1	/MP00.MAP	７人委員会のやりかたは間違ってる。我々は断固として抗議活動を続けていく。　　　　　　　　　　　　　（ヘネスィー）↑一点突破、全面展開！権力による横暴を許すな！　　　　　　　　　　　　（フォアローズ）出頭命令。ヘネスィー、および、フォアローズは、指定日時に７人委員会の塔に出頭すること。　　　　　　　　　　　　　（７人委員会）
162	1	/GM00.MAP	リグロードから竜騎士が来てるらしいで。なんでもヤマタイの苦境を救うためとか。　　　　　　　　　　　　　　　（クシロ）↑それやったらオレも聞いたことがあるわ。身の丈１００寸の大男って話や。　　　　　　　　　　　　　　　（イクリ）↑イガのアスカと義賊シラナミが、その竜騎士と一緒やねんて！　　　　　　　　　　　　　　（サキクサ）
