path	lba	size	oob
/CH/	35	2048	0
/CH/CH_A/	36	2048	0
/CH/CH_B/	37	2048	0
/CH/CH_C/	38	2048	0
/CH/CH_D/	39	2048	0
/CH/CH_E/	40	2048	0
/CH/CH_F/	41	2048	0
/CH/CH_G/	42	2048	0
/CH/CH_H/	43	2048	0
/CH/CH_I/	44	2048	0
/CH/CH_J/	45	2048	0
/CH/CH_K/	46	2048	0
/CH/CH_L/	47	2048	0
/CH/CH_M/	48	2048	0
/CH/CH_N/	49	2048	0
/CH/CH_O/	50	2048	0
/CH/CH_P/	51	2048	0
/CH/CH_Q/	52	2048	0
/CH/CH_R/	53	2048	0
/CH/CH_S/	54	2048	0
/CH/CH_T/	55	2048	0
/CH/CH_U/	56	2048	0
/CH/CH_V/	57	2048	0
/CH/CH_W/	58	2048	0
/CH/CH_X/	59	2048	0
/CH/CH_Y/	60	2048	0
/CH/CH_Z/	61	2048	0
/OMAKE/	62	2048	0
/PRF_0/	63	2048	0
/PRF_1/	64	4096	0
/TRUE/	66	2048	0
/VOICE1/	67	4096	0
/VOICE2/	69	2048	0
/VOICE3/	70	4096	0
/VOICE4/	72	4096	0
/VOICE5/	74	4096	0
/VOICE6/	76	2048	0
/WAZA/	77	2048	0
/WAZA/WAZA_001/	78	4096	0
/WAZA/WAZA_002/	80	4096	0
/WAZA/WAZA_003/	82	4096	0
/WAZA/WAZA_004/	84	2048	0
/WAZA/WAZA_005/	85	2048	0
/WAZA/WAZA_006/	86	4096	0
/WAZA/WAZA_007/	88	2048	0
/WAZA/WAZA_008/	89	2048	0
/WAZA/WAZA_009/	90	2048	0
/WAZA/WAZA_010/	91	4096	0
/WAZA/WAZA_011/	93	2048	0
/WAZA/WAZA_012/	94	2048	0
/WAZA/WAZA_013/	95	2048	0
/WAZA/WAZA_014/	96	4096	0
/WAZA/WAZA_015/	98	4096	0
/WAZA/WAZA_016/	100	4096	0
/WAZA/WAZA_017/	102	4096	0
/WAZA/WAZA_018/	104	4096	0
/WAZA/WAZA_019/	106	2048	0
/RIG2_CPY.TXT	107	62	0
/RIG2_BIB.TXT	108	21	0
/RIG2_ABS.TXT	109	36	0
/DARK2.S2D	110	5188	0
/STAFF_00.DG2	113	39462	0
/STAFF_01.DG2	133	90150	0
/STAFF_02.DG2	178	90150	0
/STAFF_03.DG2	223	90150	0
/STAFF_04.DG2	268	90150	0
/STAFF_05.DG2	313	90150	0
/STAFF_06.DG2	358	90150	0
/STAFF_07.DG2	403	90150	0
/STAFF_08.DG2	448	90150	0
/STAFF_09.DG2	493	90150	0
/STAFF_10.DG2	538	90150	0
/STAFF_11.DG2	583	90150	0
/STAFF_12.DG2	628	90150	0
/STAFF_13.DG2	673	90150	0
/STAFF_14.DG2	718	90150	0
/ST_BG_00.DG2	763	157702	0
/ST_BG_01.DG2	841	157702	0
/ST_BG_02.DG2	919	157702	0
/ST_BG_03.DG2	997	157702	0
/ST_BG_04.DG2	1075	157702	0
/ST_BG_05.DG2	1153	157702	0
/ST_BG_06.DG2	1231	157702	0
/ST_BG_07.DG2	1309	157702	0
/ST_BG_08.DG2	1387	157702	0
/ST_BG_09.DG2	1465	157702	0
/ST_BG_10.DG2	1543	157702	0
/ST_BG_11.DG2	1621	157702	0
/ST_BG_12.DG2	1699	157702	0
/ST_BG_13.DG2	1777	157702	0
/M08.WAV	1855	17287022	0
/M04.WAV	10296	7324046	0
/M05.WAV	13873	5503730	0
/M22.WAV	16561	1922078	0
/EVE_080.EVE	17500	79216	0
/M38.WAV	17539	4929386	0
/M37.WAV	19946	305248	0
/M19.WAV	20096	13946508	0
/M20.WAV	26906	11617742	0
/M41.WAV	32579	7272550	0
/M13.WAV	36131	15677348	0
/M11.WAV	43786	13840192	0
