hangul	index	code	donor_jp
가	1885	9FAD	洒
각	1884	9CB1	愕
간	1883	9C57	弩
갇	1882	9BB3	峙
갈	1881	9A91	囁
감	1880	99C2	卍
갑	1879	9980	凰
값	1878	98EB	俯
갓	1877	9872	腕
갔	1876	9870	湾
강	1875	9867	枠
갖	1874	9866	惑
같	1873	9865	脇
갚	1872	9863	歪
개	1871	9862	話
갠	1870	9861	和
갹	1869	985F	論
거	1868	985E	録
걱	1867	985B	麓
건	1866	985A	六
걷	1865	9859	郎
걸	1864	9856	老
검	1863	9855	篭
겁	1862	9854	狼
것	1861	9853	牢
겉	1860	9852	漏
게	1859	9851	浪
겐	1858	984C	廊
겠	1857	984A	労
겨	1856	9849	露
격	1855	9848	路
겪	1854	9846	炉
견	1853	9841	連
결	1852	9840	蓮
겸	1851	97FB	練
겹	1850	97F6	恋
겼	1849	97F4	裂
경	1848	97F3	烈
곁	1847	97F2	劣
계	1846	97F1	列
고	1845	97F0	歴
곡	1844	97EE	齢
곤	1843	97EC	霊
곧	1842	97EB	零
골	1841	97E9	鈴
곰	1840	97E7	礼
곱	1839	97E3	励
곳	1838	97E2	冷
공	1837	97E1	例
과	1836	97DF	令
곽	1835	97DE	類
관	1834	97DD	累
괄	1833	97DC	涙
광	1832	97D7	隣
괘	1831	97D6	輪
괜	1830	97D5	臨
괴	1829	97D1	林
굉	1828	97CE	緑
교	1827	97CD	力
구	1826	97CC	領
국	1825	97CB	陵
군	1824	97CA	量
굳	1823	97C7	良
굴	1822	97C3	療
굵	1821	97BF	料
굶	1820	97BC	両
굼	1819	97B9	了
굽	1818	97B8	虜
궁	1817	97B7	旅
궂	1816	97B6	慮
권	1815	97B5	侶
귀	1814	97B4	龍
규	1813	97B3	竜
균	1812	97B1	粒
그	1811	97AF	留
극	1810	97AD	溜
근	1809	97AC	流
글	1808	97AA	略
금	1807	97A7	立
급	1806	97A6	率
긋	1805	97A5	律
긍	1804	97A4	陸
기	1803	97A3	離
긴	1802	97A2	里
긷	1801	97A0	裏
길	1800	979D	理
김	1799	979A	履
깃	1798	9798	利
깊	1797	9797	覧
까	1796	9792	嵐
