key	ko
dd534303cb	　\n　\n　　　문이 열리지 않았다%b%V0
cf245c218d	　\n　\n보물상자가 열리지 않았다%b%V0
87fed37f3c	들어간다
20f2cd4097	들어가지 않는다
b257ff8b8f	지나간다
5ad0a15b28	지나가지 않는다
4250ca1e44	이야기를 듣는다
5d15dfd67a	다시 한번 듣는다
4837e62b83	집을 나간다
3179a8e644	%H%m1%V100［%m0７인위원회%m1］%V0%m0\n
5bfdf583d4	%z때가 무르익었다\n
f88cc66c0c	이제, 우리 위원회의 계획을\n
474432655c	실행에 옮길 때다\n
02546a6dc7	세계를 제패하리라！
bb9c7fa458	%z갈자드여・
910cc97a44	%H%m1%V100［%m0갈자드%m1］%V0%m0\n
8e0f1d0f40	%z예！
bcd4958a34	%z그대를 우리의 발톱으로 삼겠다\n병마를 이끌고\n카달의 이름을 세상에 떨쳐라！
a251ce54ae	%z감사하옵니다！
bbbb7400bc	%z라그로스여・
8a20c51240	%H%m1%V100［%m0라그로스%m1］%V0%m0\n
1f796b0e76	%z그 유례없는 마법력으로\n갈자드를 보좌하여,\n리그로드에서의 승리를\n확실히 하도록 하라
63575f5ec5	%z분부 받들겠나이다！\n리그로드 대륙에 사는 원숭이를 제압함은\n애 손목 비틀기보다도 쉬운 일이니\n소인 혼자에게 맡기소서・
03c18d47b1	%z갈자드,\n우리는 의견을 묻는 것이 아니다\n명령하는 것이다\n라그로스를 거느리고 리그로드를 함락시키라고
1dfc2f184a	%z・분부대로
cf5e669680	이것과 같은 물건을 타고,\n나는 카달까지 날아온 거야%b
cb8ed474cc	아무래도 세 대륙을\n순식간에 오갈 수 있는 물건인 모양이군%b
c49025f428	좋아,\n어디로 가는지 확인해 보자%b
b839fdd0c3	탑을 나가시겠습니까？
a3d1505175	나간다
22fb0b31c9	나가지 않는다
c5ac222d2d	%H%m1%V100［%m0７인위원회 리더%m1］%V0%m0\n
ed23787db8	때가 무르익었다%b
2ed54ce893	이제, 우리의 계획을 실행에 옮길 때다\n이로써 세계에 패권을 이루리라！%b
15903ef60e	그럼, 뒷일을 부탁하마,\n갈자드%b
04012ab630	예！\n성공을 기원하겠나이다%b
6a4b6af542	・%b
fc47e44888	흠, 아무래도 손님이 도착한 모양이군\n실컷 놀아 주도록 하지%b
7d861fa1c1	분부대로 하겠나이다%b
7f2b875b61	만약 알렉트리아 대도서관의 무투사서가\n놈들 무리에 끼어 있다면,\n가능하면 생포하도록 하라%b
70cc173930	어찌하여, 그런 사소한 것을？%b
6b2c28ef7b	・아니, 아무것도 아니다%b
5746326a2f	우리의 계획은 마지막 단계에 접어들었다%b
56ebd18e99	드디어, 우리 희망의 별을\n이 손에 넣을 때가 온 것이다！%b
eb3592e587	갈자드여\n가서, 놈들을 짓밟아라！%b
5601b995de	・누구든 상관없다, 짓밟아라%b
389013595d	예！%b
83fa5a134a	이쪽은 야마타이행 게이트였구나%b
