key	ko
00b4dda9ff	뭐라고 하셨나요？%b
0100893f27	달빛처럼 맑은 색을 띤 칼날을 가진 도로，몸에 지니면 명중률이 약간 오른다
010ffc4a45	７인위원회에 대한 반대운동을 했다는\n게 이유였어%b
020e85a4db	　쿠리카라 마을에는 화약을 다루는 포술이 있다 그 일인자가 타타라라는 거한이다\n　카달군은 포술에 전략적 가치를 발견하고 타타라 일행에게 협력을 명했다\n　하지만 자신들의 기술이 무익한 대량살인에 쓰이는 것을 싫어한 타타라 일행은 카달의 요구에 계속 반대했다
020f6ca4bd	%z만약 다치면 어떡해？ 난, 뮤가\n다치는 거 보고 싶지 않아。
0215daf77f	부적의 일종 몸에 지니면 행운을 가져다준다
023585b1cd	전 세계의 책들이 모인\n그야말로，지식의 전당！%b
024f3e0b83	옛날 하늘의 사자가 인간 소녀에게 주었다는 지성의 반지 여성만 사용할 수 있다
02546a6dc7	세계를 제패하리라！
02b26f7028	%z오오, 뮤, 훌륭한 싸움이었다！
02d3f5dc85	적을 뛰어넘으며，하늘에서 혼란의 음파를 흩뿌린다
036c6cdb90	게텐성에서 갈자드와 함께\n카달로 옮겨진 뮤는，%b%h７인위원회 탑의 감금실에\n갇힌 몸이 되어 있었다%b
03c18d47b1	%z갈자드， 우리는 의견을 묻는 것이\n아니다 명령하는 것이다 라그로스를\n거느리고 리그로드를 함락시키라고
03cb6cabe0	실전용으로 벼린 장검
04012ab630	예！\n성공을 기원하겠나이다%b
041ccd6c41	그 거리는 우리를 도와준 탓에\n재난을 당했는데，\n그걸 무시하시겠다는 건가요！？%b
045fa8863a	숨겨진 힘을 끌어내는 아이템 공격력이 오른다
04f538dfae	닌자가 일상적으로 사용하는 무기 가볍지만，위력은 기대하기 어렵다
04f97f9460	　더는 이런 아픔을 겪는 사람들이 느는 건 사양이다\n　유현의숲을 봉인한 루나의 정보로 ７인위원회는 이미 차원의 문에 다다르고 있는 듯하다\n　그들의 어리석은 짓을 막아야 한다
05383b31fb	역시，생각한 대로였어요\n드디어，７인위원회의 꼬리를 잡았어요！%b
055dba29b2	무아의 경지에 이른 고승만이 입을 수 있었다고 전해지는 특별한 법의
05b3bc23e3	어덜트터치로 아군 한 명에게 큰 피해를 준다:-)
0612ab82c3	성스러운 에너지를 빔 형태로 방출해 공격한다
063b9d52ad	튀어 오른 진동으로，주위에 회복의 파동을 전함
07072f5040	처형・%b
076e8f9f09	가스를 주위에 퍼뜨려，휘말린 대상을 1/16 확률로 죽음으로 이끈다
07944e63d4	알렉트리아 대도서관장의 딸인\n저에게조차，\n밝혀 주실 수 없나요？%b
079b51a07a	%z무슨 일이냐？\n퀸즈랜드의 왕자 러스티여。
081a097217	　새로운 동료가 느는 것은，든든한 일이라고，나는 생각한다\n　오르트마에서 장사를 하는 매인간 호크아이는，독학으로 검술을 연마한 별난 남자였다\n　호크아이의 도움으로，대지의 절규를 돌파할 수 있었다
081dd1afd6	하기야，야마타이와 리그로드에는，\n살아남을 만한 우수한 자들이\n없었지만 말이오%b
08376c2ea0	뭐 하는 거야，그만둬！%b
08c231a99d	・과연・그래서？%b
0952aaabc0	머리에 착용해，머리를 완전히 보호한다
