key	file	offset	bytes
000176394b	/WS00.MAP	80834	51
0011dec350	/HS10.MAP	185252	47
0014adcae3	/GM00.MAP	188420	32
00151091c1	/CT20.MAP	170767	55
0022f17ec1	/KD00.MAP	169886	22
003501543f	/DL00.MAP	122611	63
003cf39cbb	/WY00.MAP	224781	67
004728e985	/KS00.MAP	171036	82
004f959ee4	/CK00.MAP	180438	47
0056fa222f	/GM00.MAP	200002	10
00625bd117	/KM01.MAP	141337	63
0065048e59	/IG00.MAP	170130	51
00725168c8	/BL00.MAP	126358	53
0076f62abb	/ZM00.MAP	157214	43
0078f19946	/WY00.MAP	218846	42
007edf13b7	/GT20.MAP	140110	33
0082ea09df	/IG00.MAP	174492	294
00958362b0	/IP00.MAP	164035	30
009952ea3f	/MP00.MAP	185595	71
00a381b1be	/MP00.MAP	181398	63
00ae8cb724	/MH00.MAP	179026	10
00aea65ee0	/GT10.MAP	51272	22
00b4dda9ff	/NT00.MAP	61236	24
00b64b12a7	/BL00.MAP	127133	10
00b64b12a7	/BL00.MAP	127174	10
00b64b12a7	/TM00.MAP	132113	10
00b64b12a7	/TM00.MAP	132154	10
00bcc215f2	/HS10.MAP	181641	16
00be4521e4	/WY02.MAP	211785	20
00c79fb88f	/IG00.MAP	166184	31
00db6e0cd0	/KS00.MAP	173204	65
00e9738472	/ZM00.MAP	149328	42
00f3abe639	/AT20.MAP	83950	57
00f951bda9	/GT00.MAP	147303	86
00f975636f	/AT00.MAP	196794	26
00fad915a2	/CK00.MAP	177383	45
0100893f27	/ITEMHELP.MSG	5456	78
010b9a217d	/GT20.MAP	140364	71
010ffc4a45	/NT20.MAP	152675	67
01104ef49a	/CK00.MAP	177461	20
0118378401	/IS10.MAP	62477	61
011a75f5ca	/HS00.MAP	72372	45
011aa8391e	/QH00.MAP	160294	128
012c437303	/CT10.MAP	196135	47
013072e1c2	/IG00.MAP	172450	45
013072e1c2	/MH00.MAP	165124	45
0133bf2728	/TJ40.MAP	144543	45
0133bf2728	/TJ41.MAP	144550	45
01380f0690	/IP00.MAP	162195	51
