key	file	bytes	chars	tokens	jp
dd534303cb	/NT31.MAP	39	16	%b %V0	　\n　\n　　　扉は開きませんでした。%b%V0
cf245c218d	/NT31.MAP	35	14	%b %V0	　\n　\n宝箱は開きませんでした。%b%V0
87fed37f3c	/NT31.MAP	4	2		入る
20f2cd4097	/NT31.MAP	8	4		入らない
b257ff8b8f	/NT31.MAP	4	2		通る
5ad0a15b28	/NT31.MAP	8	4		通らない
4250ca1e44	/NT31.MAP	8	4		話を聞く
5d15dfd67a	/NT31.MAP	12	6		もう一度聞く
4837e62b83	/NT31.MAP	8	4		家をでる
3179a8e644	/NT31.MAP	37	7	%H %m1 %V100 %m0 %V0	%H%m1%V100［%m0７人委員会%m1］%V0%m0\n
5bfdf583d4	/NT31.MAP	17	7	%z	%z機は熟したり。\n
f88cc66c0c	/NT31.MAP	27	13		今こそ、我ら委員会の計画を\n
474432655c	/NT31.MAP	17	8		実行に移すとき。\n
02546a6dc7	/NT31.MAP	22	11		世界に覇をとなうべし！
bb9c7fa458	/NT31.MAP	22	10	%z	%zガルザードよ・・・。
910cc97a44	/NT31.MAP	37	7	%H %m1 %V100 %m0 %V0	%H%m1%V100［%m0ガルザード%m1］%V0%m0\n
8e0f1d0f40	/NT31.MAP	6	2	%z	%zは！
bcd4958a34	/NT31.MAP	74	35	%z	%zそなたを我らの牙となす。\n兵馬を率いて\n我らカダールの名を世にしらしめよ！
a251ce54ae	/NT31.MAP	18	8	%z	%zありがたき幸せ！
bbbb7400bc	/NT31.MAP	20	9	%z	%zラグロスよ・・・。
8a20c51240	/NT31.MAP	35	6	%H %m1 %V100 %m0 %V0	%H%m1%V100［%m0ラグロス%m1］%V0%m0\n
1f796b0e76	/NT31.MAP	93	44	%z	%zそのたぐいまれなる魔法力で\nガルザードを補佐し、\nリグロードでの勝利を\n確実なものとするのだ。
63575f5ec5	/NT31.MAP	113	54	%z	%zお待ちを！\nリグロード大陸に住む猿を制圧するなど、\n赤児の手をひねるよりもたやすいこと。\n私一人におまかせを・・・
03c18d47b1	/NT31.MAP	107	51	%z	%zガルザード、\n我々は意見を聞いているのではない。\n命令しているのだ。\nラグロスを従えリグロードをおとせ、と。
1dfc2f184a	/NT31.MAP	14	6	%z	%z・・・承知。
cf5e669680	/NT21.MAP	59	28	%b	これと同じ物に乗って、\nボクはカダールまで飛ばされたんだ。%b
cb8ed474cc	/NT21.MAP	59	28	%b	どうやら３つの大陸を\n一瞬に行き来できるシロモノらしいな。%b
c49025f428	/NT21.MAP	39	18	%b	よし、\nどこに行くか、確かめてみよう。%b
b839fdd0c3	/NT21.MAP	14	7		塔を出ますか？
a3d1505175	/NT21.MAP	4	2		出る
22fb0b31c9	/NT21.MAP	6	3		出ない
c5ac222d2d	/NT21.MAP	45	11	%H %m1 %V100 %m0 %V0	%H%m1%V100［%m0７人委員会リーダー%m1］%V0%m0\n
ed23787db8	/NT21.MAP	16	7	%b	機は熟したり。%b
2ed54ce893	/NT21.MAP	63	30	%b	今こそ、我らの計画を実行に移すとき。\nもって世界に覇を為さん！%b
15903ef60e	/NT21.MAP	41	19	%b	では、後のことを頼んだぞ、\nガルザード。%b
04012ab630	/NT21.MAP	37	17	%b	は！\n成功をお祈りいたしております。%b
6a4b6af542	/NT21.MAP	10	4	%b	・・・。%b
fc47e44888	/NT21.MAP	63	30	%b	ふ、どうやら、客が到着したようだ。\nせいぜい遊んでやることだ。%b
7d861fa1c1	/NT21.MAP	16	7	%b	仰せのままに。%b
7f2b875b61	/NT21.MAP	106	51	%b	もしアレクトリア大図書館の武闘司書が\n連中の仲間に加わっていたとしたら、\nできれば、生け捕りにするように。%b
70cc173930	/NT21.MAP	32	15	%b	何故、そのような些末なことを？%b
6b2c28ef7b	/NT21.MAP	28	13	%b	・・・いや、なんでもない。%b
5746326a2f	/NT21.MAP	32	15	%b	我らの計画は最終段階に入った。%b
56ebd18e99	/NT21.MAP	53	25	%b	ついに、我らの希望の星を\nこの手に掴む時がきたのだ！%b
eb3592e587	/NT21.MAP	45	21	%b	ガルザードよ。\n行って、奴らを叩き潰すのだ！%b
5601b995de	/NT21.MAP	38	18	%b	・・・誰だろうとかまわん、叩き潰せ。%b
389013595d	/NT21.MAP	6	2	%b	は！%b
83fa5a134a	/NT21.MAP	40	19	%b	こっちはヤマタイ行きのゲートだったね。%b
d7f32f6049	/NT21.MAP	51	24	%b	これは、ボクがヤマタイから来た\nカオスゲートだね。%b
90b7248dcf	/NT21.MAP	26	13		カオスゲートを使いますか？
3f7592b3e4	/NT21.MAP	4	2		使う
0d74d434a0	/NT21.MAP	8	4		使わない
f49c32e0d9	/NT21.MAP	42	20	%b	こっちはリグロード行きのゲートだったね。%b
68cd6b2966	/NT21.MAP	63	30	%b	これは、ボクがヤマタイから来た時の\nカオスゲートとは違うよね。%b
cc15310942	/NT21.MAP	36	17	%b	一体、どこにつながっているんだろ？%b
88345026ed	/NT20.MAP	18	9		監禁室を出ますか？
036c6cdb90	/NT20.MAP	116	54	%b %h	ゲテン城でガルザードとともに\nカダールに飛ばされたミュウは、%b%h７人委員会の塔の監禁室に\nとらわれの身となっていた。%b
19f21a497c	/NT20.MAP	26	12	%b	ボクをどうするつもり？！%b
1998d29182	/NT20.MAP	67	32	%b	明朝、日の出とともに公開処刑する。\nこれは７人委員会の命令である。%b
