key	files	bytes	chars	tokens	jp	ko
27e6ed3f83	1	507	233	%b %h	場の位相を引き起こす揺らぎは、\n異分子の介入によって\nたやすく引き起こすことが出来る。%b%h世界はその異分子介入の均衡を取るため\n一方に力を吐き出す。%b%hそこから波のように、\n揺らぎは大きくなっていく。%b%hそしてその揺らぎ、\nすなわちカオスが続けば、%b%h２つの世界の境界はなくなり、\n全てが虚無に包まれる。%b%h虚無と実存が対消滅を起こす時、\n境界を接して存在する２つの世界も\n消滅すると考えられる。%b%h我々が住む世界は、\n常に微妙なバランスの上で\n存在しているのである。%b%hウィスコ著、\n「虚無と実存～カオスの揺らぎ」%b	
ab8a4b8152	1	485	225	%b %h	果たしてこの世にある魔法力は\n一体どこより来ているのか？%b%hかっての戦役にて、異世界の扉が開いた際、\n私は、はっきりと感じとった。%b%h異世界こそが、\n我らの世界でいう「魔法力」の根源、\nすなわち負の力場である。%b%h両者は各地に点在する水晶を通じて\n波の満ち引きのような力の揺らぎにより\nお互いにその均衡を保っている。%b%h力の揺らぎが大きくなった時\n両者の均衡は崩れ、巨大な魔法力が生じ\n両者の世界に混沌をまきちらす。%b%hそれがカオスの力と呼ばれる物である。%b%hウィスコ著、\n「魔法世界の真実」%b	
2ff7929880	1	441	218	%b	「郷土の英雄、女海賊ディアナ」\n今を去る事一世紀ほど昔、ヤマタイより侵攻してきたゲンユウサイとリグロードの英雄達の戦い、すなわちリグロード戦役において、クィーンズランドのアーサー王子らと共に戦ったのが、女海賊ディアナである。\nオルトマを中心に、リグロード沿海を荒し回り人々から恐れられていたディアナが、アーサー王との出会いによって改心したエピソードは、アーサー王のじゃじゃ馬ならしとして知られている。\n　　　　（オルトマ自治会歴史保存委員会）%b	
398895e646	1	468	213	%b %h	これが、古来より禁書の中に隠された\n異世界の真実である。%b%h最後になるが、私は私自身を、\n異世界と現世をつなぐ「次元の扉」の%b%h強力な封印へと、自身の魔法力を使い、\n変身する決意を記す。%b%h良き友人の母への、\nせめてもの償いになればと思う。%b%hしかし、強力な封印も、\nいつかは破られる時がくるであろう。%b%hあるいは、時の流れの中で\n自然に弱まるかもしれぬ。%b%hここに記した知識が、\n悪用されることのないように、%b%h今はただ祈るのみである。%b%hウィスコ著、\n「魔法世界の真実」%b	
755db16846	1	390	179	%b %h	以下、賢者ウィスコの考察より引用する。%b%hおよそ魔法に従事する者で、\nガルマンオーブに秘められた力の可能性に\n魅せられない者などいないであろう。%b%hしかしそこに秘められた\nカオスの力は怪物である。%b%hそれは絶対的な虚無のゆらぎである！%b%h全てが虚数次元の彼方に\n滅亡してからでは遅いのだ。%b%hそれゆえに、魔法球の研究を禁じよ！\n必要とあらば、弾圧せよ！%b%hファルコ著、\n「ガルマンオーブの研究」%b	
ca0e8d68a6	1	353	173		　　　　　　　　　　　　　　　　　　　［２／５］\n各技の技Ｌｖ－技を使うために必要となる技レベル\n　　　　　　　です。もう１つの値は使うごとに加\n　　　　　　　算される経験値です。\n必要行動力　－技を使うために必要な行動力です。\n　　　　　　　移動したときに、この必要行動力だ\n　　　　　　　けの行動力が残っていないと技を使\n　　　　　　　うことはできません。	
44148705ca	1	350	171		パラメータ種類（２）　　　　　　　　　［７／７］\n幸運　　－運は回避率をアップします。\n賢さ　　－魔法攻撃力に影響を与えます。\n抗魔力　－魔法技を受けた時のダメージを小さくす\n　　　　　る力です。\n回避率　－自分と同程度の速さの\n　　　　　モンスターに対する回避率です。\n必殺率　－自分と同程度の能力を持つ、\n　　　　　モンスターに対するクリティカル率です。	
3d1421847a	1	340	166		パラメータ種類（１）　　　　　　　　　［６／７］\n行動力　－移動と攻撃技で使用する値。ターン毎に\n　　　　　回復します。\n登坂　　－坂を登る能力や水の上などを飛行できる\n　／水上　能力を示します。\n速さ　　－回避率と必殺率に影響を与えます。\n攻撃力　－攻撃技でのダメージ力です。\n防御力　－攻撃技を受けた時のダメージを小さくす\n　　　　　る力です。	
2bb7f847b9	1	338	165		ステータス種類（１）　　　　　　　　　［３／７］\n飛－空中に浮いていて、いづな落としや投げで攻撃\n　　されません。また、地系の攻撃技でダメージを\n　　受けません。\n透－透明化しています。打撃系の攻撃を受けません。\n眠－眠らされています。寝ている間は何もできませ\n　　ん。\n恐－恐怖に理性を失っています。相手から逃げまわ\n　　ることしかできません。	
190bbb569f	1	334	162	%b	リグロードから竜騎士が来てるらしいで。\nなんでもヤマタイの苦境を救うためとか。\n　　　　　　　　　　　　　　　（クシロ）\n↑それやったらオレも聞いたことがあるわ。\n身の丈１００寸の大男って話や。\n　　　　　　　　　　　　　　　（イクリ）\n↑イガのアスカと義賊シラナミが、\nその竜騎士と一緒やねんて！\n　　　　　　　　　　　　　　（サキクサ）%b	
bf2f8117e1	1	335	162	%b	７人委員会のやりかたは間違ってる。\n我々は断固として抗議活動を続けていく。\n　　　　　　　　　　　　　（ヘネスィー）\n↑一点突破、全面展開！\n権力による横暴を許すな！\n　　　　　　　　　　　　（フォアローズ）\n出頭命令。\nヘネスィー、および、フォアローズは、\n指定日時に７人委員会の塔に出頭すること。\n　　　　　　　　　　　　　（７人委員会）%b	
d2d98ed3b4	1	334	162	%b	ヤーツ・テ・ターセ作の\n美少女魔法戦士プリンセスドラグーンって\n物語があるんだけど、けっこう面白いゼ。\n　　　　　　　　　　　　　（クラリース）\n↑主役のアーヤがいいんだよナ！！\n　　　　　　　　　　　　　　　（アドベ）\n↑分かってねェな、お前ら。なんたって、\n「美少女剣士、黒の雷光」が一番だぜ！\n　　　　　　　　　　　　　（エクセーヌ）%b	
