key	files	bytes	chars	tokens	gaiji	jp	ko
618b50f2a3	1	294	148		0	　新しい記録を保存するためには１１０の空き容量が必要です。\n　セガサターン本体の保存データ管理画面で他のゲームの記録を消すか、初期化をして、空き容量を１１０以上にしてからゲームを再スタートして下さい。\n　ＬボタンまたはＲボタンを押しながらリセットボタンを押すと、保存データ管理画面が表示されます。	　새 기록을 저장하려면 １１０ 의 여유 용량이 필요합니다。\n　세가새턴 본체의 저장 데이터 관리화면에서 다른 게임의 기록을 지우거나 초기화하여 여유 용량을 １１０ 이상으로 만든 뒤 게임을 다시 시작해 주세요。\n　Ｌ버튼 또는 Ｒ버튼을 누른 채 리셋 버튼을 누르면 저장 데이터 관리화면이 표시됩니다。
d184506d81	1	288	145		0	　新しい記録を保存するためには１１０の空き容量が必要です。\n　セガサターン本体の保存データ管理画面で他のゲームの記録を消すか、またはカートリッジＲＡＭにコピーして、ゲームを再スタートして下さい。\n　ＬボタンまたはＲボタンを押しながらリセットボタンを押すと、保存データ管理画面が表示されます。	　새 기록을 저장하려면 １１０ 의 여유 용량이 필요합니다。\n　세가새턴 본체의 저장 데이터 관리화면에서 다른 게임의 기록을 지우거나 카트리지 ＲＡＭ 에 복사한 뒤 게임을 다시 시작해 주세요。\n　Ｌ버튼 또는 Ｒ버튼을 누른 채 리셋 버튼을 누르면 저장 데이터 관리화면이 표시됩니다。
337282978f	1	70	35		0	記録を正しく保存することができませんでした。もう一度やり直して下さい。	기록을 올바르게 저장할 수 없었습니다。다시 한번 시도해 주세요。
337402b49e	1	45	27		0	金　　　　[<＜>-][<＞>＋]押しながら決定ボタン	금　　　　[<＜>-][<＞>＋]누르며 결정버튼
33d8792912	1	45	27		0	アイテム　[<＜>-][<＞>＋]押しながら決定ボタン	아이템　[<＜>-][<＞>＋]누르며 결정버튼
43747bda14	1	48	24		0	この記録でゲームをスタートすることはできません。	이 기록으로는 게임을 시작할 수 없습니다。
443294b60e	1	48	24		0	装備を変更すると行動終了します。よろしいですか？	장비를 변경하면 행동 종료됩니다。괜찮습니까？
fdd046a16f	1	37	24		0	 HP   MP  攻撃力　防御力　賢さ 抗魔力	 HP   MP  공격력　방어력　지혜 저항력
c4c3ce6ded	1	25	20		0	現在マップ[    ]  X     Y	현재맵[    ]  X     Y
09b12179d2	1	36	18		0	メニューから出ます。よろしいですか？	메뉴에서 나갑니다。괜찮습니까？
5b1cf600e5	1	36	18		0	アイテムがいっぱいです。捨てますか？	아이템이 가득 찼다。버리겠습니까？
58ae64f87a	1	34	17		0	一枠　残り０体　：　二枠　残り０体	1조 잔여０　：　2조 잔여０
897aaee99e	1	34	17		0	このアイテムはここでは使えません。	이 아이템은 여기서 못 씁니다。
b5708e58db	1	34	17		0	まだ、うまく使いこなせないようだ。	아직 잘 다루지 못하는 듯하다。
b81d25181e	1	19	17		0	技Lv    技Exp     /	기Lv    기Exp     /
96cc84f8d9	1	18	16		0	技Lv   技Exp     /	기Lv   기Exp     /
ae66420ef9	1	32	16		0	ここの地面には影響が与えられない	이곳 지면에는 영향을 줄 수 없다
c15735c532	1	32	16		0	戦いに敗れ、半分のお金を失った。	싸움에 져서 돈의 절반을 잃었다。
d64cba3c24	1	32	16		0	ボタン］で技情報と技の入れかえ。	버튼]으로 기술정보와 기술 교체。
